name,birth_date,birth_place,death_date,death_place,url
Carl Fredrik Ringvall,9 May 1848,Stockholm,14 August 1910,"the same city, was a military musician, clarinettist and bandmaster, later on music director, with Gotland’s Infantry Regiment from 1890 to 1897",https://www.swedishmusicalheritage.com/composers/ringvall-carl-fredrik/
Mattias Risberg,,,,,https://www.swedishmusicalheritage.com/composers/risberg-mattias/
Carl Rogberg,6 maj 1902,Uppsala,24 april 1975,Falun,https://www.swedishmusicalheritage.com/composers/rogberg-carl/
Bengt Rodhe,18 september 1901,,2 maj 1968,Växjö,https://www.swedishmusicalheritage.com/composers/rohde-bengt/
Johan Helmich Roman,26 October 1694,Stockholm,20 November 1758,,https://www.swedishmusicalheritage.com/composers/roman-johan-helmich/
Carl Romin,10 mars 1772,,14 december 1847,Jakob och Johannes församling,https://www.swedishmusicalheritage.com/composers/romin-carl/
Jean Martin De Ron,13 November 1789,Stockholm,20 February 1817,Lisbon,https://www.swedishmusicalheritage.com/composers/ron-jean-martin-de/
Anna Maria Roos,9 April 1862,Stockholm,23 April 1938,"Bombay, India",https://www.swedishmusicalheritage.com/composers/roos-anna-maria/
Ellen Roosval,29 juli 1867,,9 april 1952,Oscars församling,https://www.swedishmusicalheritage.com/composers/roosval-ellen/
Lars-Erik Rosell,,,,,https://www.swedishmusicalheritage.com/composers/rosell-lars-erik/
Ann Rosén,,,,,https://www.swedishmusicalheritage.com/composers/rosen-ann/
Erik Gabriel von Rosén,,,10 september 1855,Jakob och Johannes församling (Stockholm),https://www.swedishmusicalheritage.com/composers/rosen-eric-gabriel-von/
Johan Magnus Rosén,6 April 1806,Gothenburg,16 June 1885,Stockholm,https://www.swedishmusicalheritage.com/composers/rosen-johan-magnus/
Hilding Rosenberg,,,,,https://www.swedishmusicalheritage.com/composers/rosenberg-hilding/
Leo Rosenblüth,,,,,https://www.swedishmusicalheritage.com/composers/rosenbluth-leo/
Carl Gustaf von Roxendorff,17 juli 1797,,3 september 1838,Arvika församling,https://www.swedishmusicalheritage.com/composers/roxendorff-carl-gustaf-von/
Daniel Rozenhall,,,,,https://www.swedishmusicalheritage.com/composers/rozenhall-daniel/
Albert Rubenson,20 December 1826,Stockholm,2 March 1901,the same city,https://www.swedishmusicalheritage.com/composers/rubenson-albert/
Olof Rudbeck,,,17 September 1702,"Uppsala, was an anatomist, medical doctor, historian, natural scientist, architect, composer and musician",https://www.swedishmusicalheritage.com/composers/rudbeck-olof/
Axel Rudebeck,,,,,https://www.swedishmusicalheritage.com/composers/rudebeck-axel/
Rudolf Gagge,27 February 1834,Stockholm,20 February 1912,Västerås,https://www.swedishmusicalheritage.com/composers/rudolf-gagge/
Waldemar Rudolf,1 mars 1882,,29 maj 1974,"Gustav Adolf församling, Helsingborg,",https://www.swedishmusicalheritage.com/composers/rudolf-waldemar/
