wikidata_id,name
Q12159970,Hlib Pavlovych Taranov
Q16368756,Hokuma Nacafova
Q699355,Holger Czukay
Q780267,Holger Fransman
Q337157,Honorio Siccardi
Q3140495,Horacio Vaggione
Q12099330,Hryhoriĭ Mytrofanovych Davydovsʹkyĭ
Q1633139,Hubert Ferdinand Kufferath
Q1192120,Hubert Léonard
Q896269,Hubert Ries
Q1350676,Hugo Friedhofer
Q213539,Hugo Riemann
Q5934607,Hugo Weisgall
Q5940753,Humfrey Anger
Q1351430,Humphrey Searle
Q1354755,Hyacinthe Klosé
Q137442653,Iakovos Konitopoulos
Q65203842,Ignacio Prieto
Q1657463,Ignaz Friedman
Q3148235,Ignaz Ladurner
Q324678,Ignazio Fiorillo
Q5992889,Ignazio Prota
Q4101402,Igor Belza
Q18529592,Igor Krivokapič
Q1195141,Ika Peyron
Q16691491,Ilya Semyonovich Aisberg
Q4266956,Ina Lohr
Q6240680,Ingvar Wieslander
Q136030310,Iossif Valette
Q6069326,Ireneu Segarra i Malla
Q46926538,Irina Viktorovna Tseslukevich
Q777224,Irwin Bazelon
Q17148146,Isabel Güell i López
Q1673631,Isabelle Delorme
Q707752,Isidor Philipp
Q375024,István Thomán
Q105290607,Ivan Arteaga
Q264047,Ivar Hedenblad
Q4267414,Izydor Lotto
Q323435,Jacob Adolf Hägg
Q58811025,Jacob Beimel
Q19594904,Jacob Bernhard Struve
Q71963,Jacob Praetorius the Elder
Q105214039,Jacob Sundstrom
Q96185880,Jacques Beers
Q1677932,Jacques Chailley
Q1677973,Jacques François Gallay
Q6120636,Jacques Gregoir
Q561320,Jacques Loussier
Q547935,Jacques Moderne
Q3158025,Jacques-Michel Hurel de Lamare
Q712718,Jacques-Nicolas Lemmens
Q33826471,Jaime Torrens
Q70417,Jakob Adlung
Q1678946,Jakob Bölsche
Q67425,James Kwast
Q17308940,James William Davison
Q768095,Jan Antonín Koželuh
Q5565915,Jan Bark
Q11717521,Jan Gawlas
Q1363375,Jan Hřímalý
Q554209,Jan Nepomucen Bobrowicz
Q11717670,Jan Wincenty Hawel
Q1375563,Jaroslav Kocián
Q709658,Jaroslav Kvapil
Q95151577,Jaroslav Ušák
Q4892960,Jaume Pahissa
Q124631081,Jay Rauch
Q508319,Jean Baptiste Lemoyne
Q3170781,Jean Binet
Q3171710,Jean Desfontaines
Q154949,Jean Gallon
Q2101175,Jean Louël
Q3173698,Jean Nicolas Auguste Kreutzer
Q6171318,Jean Perrin
Q726157,Jean Rousseau
Q55899757,Jean Schucht
Q1684675,Jean-Baptiste Moreau
Q934876,Jean-Baptiste Weckerlin
Q1684650,Jean-Baptiste-Aimé Joseph Janson
Q1684755,Jean-Claude Henry
Q1684779,Jean-Claude Touche
Q453100,Jean-Claude Trial
Q3165266,Jean-Claude Wolff
Q633796,Jean-Delphin Alard
Q559659,Jean-François Le Sueur
Q288566,Jean-Pierre Duport
Q20003391,Jean-Étienne Rey
Q432802,Jeanine Rueff
Q78318608,Jeanne Bovet
Q3176081,Jeanne Joulain
