article,name,birth,death,nationality,notable_20th_century_works,comment,era
Riccardo_Drigo,Riccardo Drigo,1846,1930,Italian,,,20th-century classical
Andreas_Hallén,Andreas Hallén,1846,1925,Swedish,Valborgsmässa (opera),Romanticism,20th-century classical
Marie_Jaëll,Marie Jaëll,1846,1925,French,,,20th-century classical
Albert_Lavignac,Albert Lavignac,1846,1916,French,,,20th-century classical
Franz_Ries,Franz Ries,1846,1932,German,,,20th-century classical
Paolo_Tosti,Paolo Tosti,1846,1916,Italian,,,20th-century classical
Joachim_Andersen,Joachim Andersen,1847,1909,Danish,,,20th-century classical
Agathe_Backer_Grøndahl,Agathe Backer Grøndahl,1847,1907,Norwegian,,,20th-century classical
Ignacio_Cervantes,Ignacio Cervantes,1847,1905,Cuban,,,20th-century classical
Francis_Chassaigne,Francis Chassaigne,1847,1922,Belgian-born French,,,20th-century classical
Constantin_Dimitrescu,Constantin Dimitrescu,1847,1928,Romanian,,,20th-century classical
Robert_Fuchs,Robert Fuchs,1847,1927,Austrian,"Symphony No. 3 in E major, Op. 79; Clarinet Quintet in E♭ major, Op. 102",,20th-century classical
Ludwig_Philipp_Scharwenka,Ludwig Philipp Scharwenka,1847,1917,German-Polish,,,20th-century classical
Chiquinha_Gonzaga,Chiquinha Gonzaga,1847,1935,Brazilian,,,20th-century classical
Alexander_Mackenzie_(composer),Alexander Mackenzie,1847,1935,Scottish,The Cricket on the Hearth,Romanticism,20th-century classical
Sveinbjörn_Sveinbjörnsson,Sveinbjörn Sveinbjörnsson,1847,1927,Icelandic,,,20th-century classical
Rudolf_Tillmetz,Rudolf Tillmetz,1847,1915,German,,,20th-century classical
Agnes_Zimmermann,Agnes Zimmermann,1847,1925,German,,,20th-century classical
Frances_Allitsen,Frances Allitsen,1848,1912,English,,,20th-century classical
Henri_Duparc_(composer),Henri Duparc,1848,1933,French,,,20th-century classical
Richard_Eilenberg,Richard Eilenberg,1848,1927,German,,,20th-century classical
František_Kmoch,František Kmoch,1848,1912,Czech,,,20th-century classical
Otto_Malling,Otto Malling,1848,1915,Danish,,,20th-century classical
William_J._McCoy_(composer),William J. McCoy,1848,1926,American,,,20th-century classical
Hubert_Parry,Hubert Parry,1848,1918,English,Jerusalem,,20th-century classical
Ludvig_Schytte,Ludvig Schytte,1848,1909,Danish,,,20th-century classical
Fritz_Seitz,Fritz Seitz,1848,1918,German,,,20th-century classical
Johann_Baptist_Singenberger,Johann Baptist Singenberger,1848,1924,Swiss-American,,historicist,20th-century classical
Catalina_Berroa,Catalina Berroa,1849,1911,Cuban,,,20th-century classical
Roberta_Geddes-Harvey,Roberta Geddes-Harvey,1849,1930,Canadian,,,20th-century classical
Ernesto_Köhler,Ernesto Köhler,1849,1907,Italian,,,20th-century classical
Nanna_Liebmann,Nanna Liebmann,1849,1935,Danish,,,20th-century classical
Stephanie_Wurmbrand-Stuppach,Stephanie Wurmbrand-Stuppach,1849,1919,Hungarian,,,20th-century classical
Richard_Barth,Richard Barth,1850,1923,German,,,20th-century classical
Ludvig_Birkedal-Barfod,Ludvig Birkedal-Barfod,1850,1937,Danish,,,20th-century classical
Tomás_Bretón,Tomás Bretón,1850,1923,Spanish,,,20th-century classical
Richard_Heuberger,Richard Heuberger,1850,1914,Austrian,,,20th-century classical
Iver_Holter,Iver Holter,1850,1941,Norwegian,,,20th-century classical
Alfredo_Keil,Alfredo Keil,1850,1907,Portuguese,,,20th-century classical
Peter_Lange-Müller,Peter Lange-Müller,1850,1926,Danish,,,20th-century classical
Alexandre_Luigini,Alexandre Luigini,1850,1906,French,,,20th-century classical
C._A._Bracco,C. A. Bracco,1850,1903,Italian,,,20th-century classical
Franz_Xaver_Scharwenka,Franz Xaver Scharwenka,1850,1924,German,,,20th-century classical
Antonio_Scontrino,Antonio Scontrino,1850,1922,Italian,,,20th-century classical
Emilio_Serrano_y_Ruiz,Emilio Serrano y Ruiz,1850,1939,Spanish,,,20th-century classical
Hans_Sitt,Hans Sitt,1850,1922,Czech,,,20th-century classical
Heinrich_Reimann,Heinrich Reimann,1850,1906,German,,,20th-century classical
Alexander_Taneyev,Alexander Taneyev,1850,1918,Russian,,,20th-century classical
Victor_Bendix,Victor Bendix,1851,1926,Danish,"Symphony No. 4 in D minor, Op. 30",,20th-century classical
Jan_Blockx,Jan Blockx,1851,1912,Belgian,,,20th-century classical
Mary_Grant_Carmichael,Mary Grant Carmichael,1851,1935,English,,,20th-century classical
Emanuel_Chvála,Emanuel Chvála,1851,1924,Czech,,,20th-century classical
Gabrielle_Ferrari,Gabrielle Ferrari,1851,1921,French-Italian,,,20th-century classical
Ludvig_Hegner,Ludvig Hegner,1851,1923,Danish,,,20th-century classical
Vincent_d'Indy,Vincent d'Indy,1851,1931,French,String Quartet No. 3; Symphony No. 2 in B♭; Jour d'été à la montagne,,20th-century classical
W._H._Jude,W. H. Jude,1851,1922,English,,,20th-century classical
