name,wikidata_id,description,wikipedia_en
Heinrich Gebhard,Q4134642,German-American musician (1878–1963),https://en.wikipedia.org/wiki/Heinrich_Gebhard
Heinrich Jalowetz,Q4537431,Austrian musicologist (1882-1946),https://en.wikipedia.org/wiki/Heinrich_Jalowetz
Heinrich Praeger,Q3129505,,
Heinrich van Eyken,Q19999271,,
Heinrich Vogl,Q5308807,Royal Bavarian court opera and chamber singer (1845-1900),https://en.wikipedia.org/wiki/Heinrich_Vogl
Helena Ottawowa,Q47166018,Polish pianist,
Helena Sá e Costa,Q10294470,Portuguese pianist (1913–2006),https://en.wikipedia.org/wiki/Helena_Sá_e_Costa
Helmut Walcha,Q133677,German organist (1907–1991),https://en.wikipedia.org/wiki/Helmut_Walcha
Heniot Levy,Q5714431,American musician (1879-1945),https://en.wikipedia.org/wiki/Heniot_Levy
Henri Gagnon,Q784771,Canadian musician (1887-1961),https://en.wikipedia.org/wiki/Henri_Gagnon
Henrik Lund,Q2288473,"Greenlandic Lutheran pastor, poet, painter, and author of Greenland's national anthem (1875-1948)",https://en.wikipedia.org/wiki/Henning_Jakob_Henrik_Lund
Henryk Sztompka,Q2462306,Polish pianist (1901-1964),https://en.wikipedia.org/wiki/Henryk_Sztompka
Hermann Abendroth,Q57500,German conductor (1883-1956),https://en.wikipedia.org/wiki/Hermann_Abendroth
Hermann Keller,Q98765,"German church musician, musicologist and music educator (1885–1967)",https://en.wikipedia.org/wiki/Hermann_Keller
Hermann Scherchen,Q60174,German conductor (1891–1966),https://en.wikipedia.org/wiki/Hermann_Scherchen
Hilda Thegerström,Q4982446,Swedish pianist,https://en.wikipedia.org/wiki/Hilda_Thegerström
Hippolyte François Rabaud,Q11925701,,
Hjalmar Berwald,Q5574604,(1848-1930),
Holger Czukay,Q699355,"German bass-guitarist and co-founder of ""Can"" (1938-2017)",https://en.wikipedia.org/wiki/Holger_Czukay
Holger Fransman,Q780267,"Finnish musician, lecturer, author and hornist (1909–1997)",
