article,name,birth,death,nationality,notable_21_century_works,era
Oliver_Schroer,Oliver Schroer,1956,2008,Canadian,,21st-century classical
Yihan_Chen,Yihan Chen,1994,,Chinese,,21st-century classical
Thierry_Escaich,Thierry Escaich,1965,,French,,21st-century classical
Ruth_Anderson_(composer),Ruth Anderson,1928,2019,American,,21st-century classical
Euel_Box,Euel Box,1928,2017,American,,21st-century classical
Wu_Fei,Wu Fei,1977,,Chinese,She Huo,21st-century classical
Bernhard_Christensen,Bernhard Christensen,1906,2004,Danish,,21st-century classical
Gladys_Nordenstrom,Gladys Nordenstrom,1924,2016,American,,21st-century classical
Benjamin_Boretz,Benjamin Boretz,1934,,American,,21st-century classical
Leon_Milo,Leon Milo,1956,,American,,21st-century classical
Thomas_Pernes,Thomas Pernes,1956,,Austrian,,21st-century classical
Dave_Brubeck,Dave Brubeck,1920,2012,American,,21st-century classical
Raffaello_de_Banfield,Raffaello de Banfield,1922,2008,English,,21st-century classical
Jeronimas_Kačinskas,Jeronimas Kačinskas,1907,2005,Lithuanian-born American,,21st-century classical
Dorothea_Anne_Franchi,Dorothea Anne Franchi,1920,2003,New Zealander,,21st-century classical
Paul_Phillips_(conductor),Paul Phillips,1956,,American,,21st-century classical
Santa_Ratniece,Santa Ratniece,1977,,Latvian,,21st-century classical
Claire_Schapira,Claire Schapira,1946,,French,,21st-century classical
Iris_ter_Schiphorst,Iris ter Schiphorst,1956,,German,,21st-century classical
Maria_de_Lourdes_Martins,Maria de Lourdes Martins,1926,2009,Portuguese,,21st-century classical
Marcel_Bitsch,Marcel Bitsch,1921,2011,French,,21st-century classical
Marcel_Chyrzyński,Marcel Chyrzyński,1971,,Polish,,21st-century classical
Adrienne_Clostre,Adrienne Clostre,1921,2006,French,,21st-century classical
Bernard_Parmegiani,Bernard Parmegiani,1927,2013,French,,21st-century classical
Heidi_Baader-Nobs,Heidi Baader-Nobs,1940,,Swiss,,21st-century classical
Wayne_Peterson,Wayne Peterson,1927,,American,,21st-century classical
William_Ennis_Thomson,William Ennis Thomson,1927,,American,,21st-century classical
Edward_Bland,Edward Bland,1926,2013,American,,21st-century classical
Gareth_Walters,Gareth Walters,1928,2012,Welsh,,21st-century classical
Kenneth_Kafui,Kenneth Kafui,1951,,Ghanaian,,21st-century classical
Felipe_Sosa,Felipe Sosa,1945,,Paraguayan,,21st-century classical
Florentín_Giménez,Florentín Giménez,1925,,Paraguayan,,21st-century classical
German_Cáceres,German Cáceres,1954,,Salvadoran,,21st-century classical
Mohammed_Haddad,Mohammed Haddad,1975,,Bahraini,,21st-century classical
Mark_Bowden,Mark Bowden,1979,,British,,21st-century classical
Jeffrey_Lewis,Jeffrey Lewis,1942,,Welsh,,21st-century classical
Jonathan_Little,Jonathan Little,1965,,Australian,,21st-century classical
Osian_Ellis,Osian Ellis,1928,,Welsh,,21st-century classical
Ginette_Keller,Ginette Keller,1925,,French,,21st-century classical
Ariel_Ramírez,Ariel Ramírez,1921,2010,Argentine,,21st-century classical
Magali_Babin,Magali Babin,1967,,Canadian,,21st-century classical
Tristram_Cary,Tristram Cary,1925,2008,English-Australian,,21st-century classical
Jan_Boerman,Jan Boerman,1923,,Dutch,,21st-century classical
Antonio_Bibalo,Antonio Bibalo,1922,2008,Italian-Norwegian,,21st-century classical
Teresa_Borràs_i_Fornell,Teresa Borràs i Fornell,1923,2010,American,,21st-century classical
John_Boda,John Boda,1922,2002,American,,21st-century classical
Karen_Khachaturian,Karen Khachaturian,1920,2011,Soviet and Russian,,21st-century classical
James_Clifford_Brown,James Clifford Brown,1923,2004,English,,21st-century classical
Diana_Pereira_Hay,Diana Pereira Hay,1932,,Danish,,21st-century classical
Brian_Bonsor,Brian Bonsor,1926,2011,Scottish,,21st-century classical
Jeanne_Colin-De_Clerck,Jeanne Colin-De Clerck,1924,,Belgian,,21st-century classical
Clytus_Gottwald,Clytus Gottwald,1925,,German,,21st-century classical
Kelsey_Jones,Kelsey Jones,1922,2004,Canadian,,21st-century classical
Antony_Hopkins,Antony Hopkins,1921,2014,British,,21st-century classical
Earle_Brown,Earle Brown,1926,2002,American,,21st-century classical
Zhun_Huang_(composer),Zhun Huang,1926,,Chinese,,21st-century classical
Joseph_Waters,Joseph Waters,1952,,American,,21st-century classical
Roderick_Watkins,Roderick Watkins,1964,,English,,21st-century classical
Andy_Vores,Andy Vores,1956,,Welsh,,21st-century classical
Daniel_Hensel,Daniel Hensel,1978,,German,,21st-century classical
Joan_Mary_Last,Joan Mary Last,1908,2002,English,,21st-century classical
Anatoly_Bogatyrev,Anatoly Bogatyrev,1910,2003,Belarusian,,21st-century classical
Doreen_Carwithen,Doreen Carwithen,1922,2003,British,,21st-century classical
Isidora_Žebeljan,Isidora Žebeljan,1967,,Serbian,,21st-century classical
Irma_Urteaga,Irma Urteaga,1929,,Argentine,,21st-century classical
Marina_Marta_Vlad,Marina Marta Vlad,1949,,Romanian,,21st-century classical
Henk_de_Vlieger,Henk de Vlieger,1953,,Dutch,,21st-century classical
